"Temperature","Date","Hour"
"67.5","2026-06-30","23:00:00.000Z"
"65.6","2026-07-01","00:00:00.000Z"
"63.6","2026-07-01","01:00:00.000Z"
"61.2","2026-07-01","02:00:00.000Z"
"59.5","2026-07-01","03:00:00.000Z"
"58.7","2026-07-01","04:00:00.000Z"
"58.4","2026-07-01","05:00:00.000Z"
"58.0","2026-07-01","06:00:00.000Z"
"57.5","2026-07-01","07:00:00.000Z"
"57.5","2026-07-01","08:00:00.000Z"
"57.7","2026-07-01","09:00:00.000Z"
"58.9","2026-07-01","10:00:00.000Z"
"59.4","2026-07-01","11:00:00.000Z"
"60.7","2026-07-01","12:00:00.000Z"
"62.5","2026-07-01","13:00:00.000Z"
"62.7","2026-07-01","14:00:00.000Z"
"63.2","2026-07-01","15:00:00.000Z"
"64.5","2026-07-01","16:00:00.000Z"
"66.3","2026-07-01","17:00:00.000Z"
"69.3","2026-07-01","18:00:00.000Z"
"70.4","2026-07-01","19:00:00.000Z"
"70.6","2026-07-01","20:00:00.000Z"
"70.2","2026-07-01","21:00:00.000Z"
"69.3","2026-07-01","22:00:00.000Z"
"68.8","2026-07-01","23:00:00.000Z"
"68.3","2026-07-02","00:00:00.000Z"
"67.2","2026-07-02","01:00:00.000Z"
"65.7","2026-07-02","02:00:00.000Z"
"64.3","2026-07-02","03:00:00.000Z"
"63.6","2026-07-02","04:00:00.000Z"
"63.6","2026-07-02","05:00:00.000Z"
"63.2","2026-07-02","06:00:00.000Z"
"63.0","2026-07-02","07:00:00.000Z"
"62.9","2026-07-02","08:00:00.000Z"
"62.7","2026-07-02","09:00:00.000Z"
"62.5","2026-07-02","10:00:00.000Z"
"62.1","2026-07-02","11:00:00.000Z"
"61.8","2026-07-02","12:00:00.000Z"
"61.6","2026-07-02","13:00:00.000Z"
"62.1","2026-07-02","14:00:00.000Z"
"63.6","2026-07-02","15:00:00.000Z"
"65.9","2026-07-02","16:00:00.000Z"
"68.4","2026-07-02","17:00:00.000Z"
"71.3","2026-07-02","18:00:00.000Z"
"73.3","2026-07-02","19:00:00.000Z"
"73.5","2026-07-02","20:00:00.000Z"
"72.4","2026-07-02","21:00:00.000Z"
"70.8","2026-07-02","22:00:00.000Z"
"70.1","2026-07-02","23:00:00.000Z"
"70.1","2026-07-03","00:00:00.000Z"
"69.2","2026-07-03","01:00:00.000Z"
"68.1","2026-07-03","02:00:00.000Z"
"66.8","2026-07-03","03:00:00.000Z"
"66.1","2026-07-03","04:00:00.000Z"
"65.7","2026-07-03","05:00:00.000Z"
"65.2","2026-07-03","06:00:00.000Z"
"64.7","2026-07-03","07:00:00.000Z"
"64.7","2026-07-03","08:00:00.000Z"
"64.5","2026-07-03","09:00:00.000Z"
"64.3","2026-07-03","10:00:00.000Z"
"64.1","2026-07-03","11:00:00.000Z"
"63.6","2026-07-03","12:00:00.000Z"
"63.4","2026-07-03","13:00:00.000Z"
"63.8","2026-07-03","14:00:00.000Z"
"65.4","2026-07-03","15:00:00.000Z"
