"Temperature","Date","Hour"
"74.2","2026-07-03","18:00:00.000Z"
"76.3","2026-07-03","19:00:00.000Z"
"77.8","2026-07-03","20:00:00.000Z"
"78.5","2026-07-03","21:00:00.000Z"
"78.1","2026-07-03","22:00:00.000Z"
"76.7","2026-07-03","23:00:00.000Z"
"75.1","2026-07-04","00:00:00.000Z"
"73.1","2026-07-04","01:00:00.000Z"
"70.8","2026-07-04","02:00:00.000Z"
"69.0","2026-07-04","03:00:00.000Z"
"68.0","2026-07-04","04:00:00.000Z"
"67.5","2026-07-04","05:00:00.000Z"
"67.2","2026-07-04","06:00:00.000Z"
"66.8","2026-07-04","07:00:00.000Z"
"66.5","2026-07-04","08:00:00.000Z"
"66.1","2026-07-04","09:00:00.000Z"
"65.5","2026-07-04","10:00:00.000Z"
"64.7","2026-07-04","11:00:00.000Z"
"64.5","2026-07-04","12:00:00.000Z"
"64.7","2026-07-04","13:00:00.000Z"
"65.5","2026-07-04","14:00:00.000Z"
"67.0","2026-07-04","15:00:00.000Z"
"70.1","2026-07-04","16:00:00.000Z"
"74.1","2026-07-04","17:00:00.000Z"
"76.9","2026-07-04","18:00:00.000Z"
"77.3","2026-07-04","19:00:00.000Z"
"76.4","2026-07-04","20:00:00.000Z"
"75.6","2026-07-04","21:00:00.000Z"
"75.7","2026-07-04","22:00:00.000Z"
"76.0","2026-07-04","23:00:00.000Z"
